name,address,resolvedAddress,latitude,longitude,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,source
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T00:00:00,27,31.2,26,94.27,0.1,100,rain,0,0,6.5,5.4,106.6,1007,0,3,0,0,0,,Rain,rain,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T01:00:00,26.5,26.5,25.9,96.32,0,0,,0,0,5.8,1.5,344,1008,1.3,8.9,0,0,0,,Clear,clear-night,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T02:00:00,27,31.2,26,94.27,0.9,100,rain,0,0,8.3,0.9,20.2,1007,44,4.5,0,0,0,,"Rain, Partially cloudy",rain,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T03:00:00,27,31.2,26,94.27,0.6,100,rain,0,0,8.6,0.9,360,1007,0,4,0,0,0,,Rain,rain,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T04:00:00,26.3,26.3,25.7,96.87,0,0,,0,0,9.7,1.2,12,1007.7,0.5,8.6,0,0,0,,Clear,clear-night,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T05:00:00,27,31.2,26,94.27,0.1,100,rain,0,0,11.5,7.4,50,1008,0,1,0,0,0,,Rain,rain,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T06:00:00,27,31.2,26,94.27,0.2,100,rain,0,0,10.8,3.6,80,1009,37.5,1.5,0.2,0,0,,"Rain, Partially cloudy",rain,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T07:00:00,26.7,30.4,26,96.36,0,0,,0,0,10.1,4.4,330,1009.3,57.9,4.1,25.9,0.1,0,,Partially cloudy,partly-cloudy-day,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T08:00:00,29.1,35.8,26.1,83.9,0.5,100,rain,0,0,10.1,7.6,330,1010,90,4,54.8,0.2,1,,"Rain, Partially cloudy",rain,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T09:00:00,30,37.4,26,79.2,0.7,100,rain,0,0,9.7,6.5,200,1010,89,4.5,129.5,0.5,1,,"Rain, Partially cloudy",rain,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T10:00:00,31.2,39.4,26,74.13,0,0,,0,0,11.2,7.6,106,1010.5,73.5,10.1,247.4,0.9,2,,Partially cloudy,partly-cloudy-day,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T11:00:00,32,39.2,25,66.58,0.4,100,rain,0,0,13.7,8.5,95,1009,50,10,444,1.6,4,,"Rain, Partially cloudy",rain,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T12:00:00,33,39.9,24.5,61.08,0.4,100,rain,0,0,15.1,8.5,100,1008,50,10,456.1,1.6,5,,"Rain, Partially cloudy",rain,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T13:00:00,33,41.4,25.5,65.05,0,0,,0,0,15.8,7.3,90,1007.7,72.8,17.9,599,2.2,6,,Partially cloudy,partly-cloudy-day,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T14:00:00,34.1,42.1,25.1,59.51,0,0,,0,0,15.8,9.4,110,1006,50,10,561.2,2,6,,Partially cloudy,partly-cloudy-day,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T15:00:00,33.5,39.9,24,57.63,0.3,100,rain,0,0,15.5,10.3,100,1005,27.5,10,504.5,1.8,5,,"Rain, Partially cloudy",rain,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T16:00:00,32.4,39.7,24.9,64.59,0,0,,0,0,15.8,13.3,176,1005.9,49.7,10.1,373,1.3,4,,Partially cloudy,partly-cloudy-day,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T17:00:00,32,39.2,25,66.58,0,0,,0,0,16.6,13.9,165,1005,25,10,165.5,0.6,2,,Partially cloudy,partly-cloudy-day,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T18:00:00,31,37.7,25,70.48,0,0,,0,0,14.4,13.9,150,1005,0,8,28.3,0.1,0,,Clear,clear-night,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T19:00:00,30.1,38.2,26.4,80.69,0,0,,0,0,12.2,10.8,115,1006.1,0.7,17.4,0,0,0,,Clear,clear-night,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T20:00:00,29.5,36.6,26,81.51,0,0,,0,0,10.1,13,135,1007,0,8.5,0,0,0,,Clear,clear-night,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T21:00:00,29,35.1,25.5,81.45,0,0,,0,0,9.7,13.9,140,1008,0,8,0,0,0,,Clear,clear-night,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T22:00:00,28.7,35.8,26.7,88.66,0,0,,0,0,9.7,10.8,160,1008.9,0.2,16.8,0,0,0,,Clear,clear-night,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-27T23:00:00,28,33.6,26,88.92,0.1,100,rain,0,0,9.4,11.2,155,1008,0,4.5,0,0,0,,Rain,rain,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-28T00:00:00,28.1,33.7,26.1,88.92,0.3,100,rain,0,0,7.2,7.6,150,1008,0,5,0,0,0,,Rain,rain,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-28T01:00:00,27.9,33.9,26.7,93.09,0,0,,0,0,7.2,7,158,1008.4,2.7,16.6,0,0,0,,Clear,clear-night,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-28T02:00:00,28,33.6,26,88.92,0,0,,0,0,10.8,7.6,125,1008,0,3.5,0,0,0,,Clear,clear-night,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-28T03:00:00,27,31.2,26,94.27,0,0,,0,0,11.5,6.5,75,1008,0,2,0,0,0,,Clear,clear-night,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-28T04:00:00,27.1,31.7,26.3,95.14,0,0,,0,0,12.2,4.5,125,1008.4,0.5,15.9,0,0,0,,Clear,clear-night,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-28T05:00:00,27,31.2,26,94.27,0,0,,0,0,11.2,6.5,70,1008,0,1,0,0,0,,Clear,clear-night,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-28T06:00:00,27,31.2,26,94.27,0,0,,0,0,10.4,7.4,80,1009,0,1,0.3,0,0,,Clear,clear-day,obs
Hanoi,Hanoi,Hanoi,21,105.85,2015-09-28T07:00:00,28.2,34.9,26.9,92.51,0,0,,0,0,15.1,7.1,86,1009.4,7.1,3.7,66.3,0.2,1,,Clear,clear-day,obs
